H2.265.4.W1,H2.265,0,2,0,0,0,0,2,1,0,2,0
H2.265.4.W2,H2.265,0,1,1,0,0,2,1,1,0,0,5
H2.265.4.W3,H2.265,0,1,0,3,0,0,0,1,0,0,0
H2.265.4.W4,H2.265,0,0,0,1,0,1,1,0,0,1,3
H2.265.4.W5,H2.265,0,0,0,0,0,0,1,0,0,2,1
H2.265.4.W6,H2.265,0,0,1,1,0,1,4,0,2,0,4
H2.265.5.W1,H2.265,0,0,2,0,1,0,0,0,0,0,1
H2.265.5.W2,H2.265,0,3,2,1,0,0,2,2,1,0,2
H2.265.5.W3,H2.265,0,0,2,1,0,0,0,0,1,0,2
H2.265.5.W4,H2.265,0,0,0,1,1,6,2,2,0,3,5
H2.265.5.W5,H2.265,0,0,1,1,0,0,3,3,0,0,1
H2.265.5.W6,H2.265,0,0,0,0,0,0,1,1,0,0,3
H2.265.6.W1,H2.265,0,2,0,0,0,1,4,0,0,0,1
H2.265.6.W2,H2.265,0,2,0,2,0,0,1,0,0,0,0
H2.265.6.W3,H2.265,0,1,0,2,0,0,3,1,0,0,0
H2.265.6.W4,H2.265,0,4,1,0,0,0,1,0,0,0,3
H2.265.6.W5,H2.265,0,0,1,1,0,0,5,1,0,0,0
H2.265.6.W6,H2.265,0,1,0,1,0,0,0,0,0,0,3
CC7.265.4.W1,CC7.265,0,0,0,0,0,0,4,0,0,0,0
CC7.265.4.W2,CC7.265,0,0,0,0,0,0,1,1,0,0,1
CC7.265.4.W3,CC7.265,0,0,0,0,0,0,2,0,0,0,2
CC7.265.4.W4,CC7.265,0,0,0,0,0,0,0,0,0,0,0
CC7.265.4.W5,CC7.265,0,0,2,0,0,0,0,0,0,0,0
CC7.265.4.W6,CC7.265,0,0,0,0,0,0,0,0,0,0,0
CC7.265.5.W1,CC7.265,0,0,0,0,0,0,0,0,0,0,0
CC7.265.5.W2,CC7.265,0,0,0,0,0,0,0,0,0,0,3
CC7.265.5.W3,CC7.265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC7.265.5.W4,CC7.265,0,1,0,0,0,0,0,0,0,0,1
